fitness,finished,diversity,individual
25,True,0,"(1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 2, 1, 2, 2, 0, 3, 1, 0, 1, 2, 1, 2, 1, 2)"
23,True,0,"(2, 1, 1, 1, 1, 2, 3, 2, 2, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 0, 2, 1, 2)"
20,True,0,"(1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1)"
21,True,0,"(1, 0, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 2, 3, 3, 1, 1)"
16,True,0,"(1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2)"
17,True,0,"(1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 3, 1)"
18,True,0,"(2, 1, 1, 3, 1, 1, 1, 2, 3, 2, 1, 1, 1, 2, 1, 2, 2, 2)"
22,True,0,"(2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 0, 0, 3, 2, 2, 1, 2, 2)"
21,True,0,"(1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, 0, 2, 1, 3, 2, 1, 1, 2, 1, 2)"
21,True,0,"(1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 0, 2, 2, 3, 2, 0, 2, 2, 2, 1)"
20,True,0,"(1, 1, 0, 2, 1, 3, 1, 1, 3, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2)"
22,True,0,"(2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 0, 2, 1, 3, 1, 0, 2, 1, 2)"
15,True,0,"(1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2)"
17,True,0,"(2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2)"
20,True,0,"(1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 3, 2, 1, 2, 2, 3, 1)"
26,True,0,"(1, 0, 2, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 3, 1, 2, 2, 1, 2, 2, 2, 0, 2, 0, 2)"
18,True,0,"(2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 0, 2)"
14,True,0,"(1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 1, 2)"
24,True,0,"(1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 3, 1, 0, 3, 2, 2, 1, 2, 2, 2)"
25,True,0,"(1, 1, 1, 1, 2, 2, 3, 2, 0, 1, 1, 1, 2, 1, 2, 3, 2, 2, 2, 1, 3, 2, 1, 0, 2)"
27,True,0,"(1, 0, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 1, 3, 0, 2, 2, 2, 1, 2, 0, 2, 3, 2, 0, 1, 2)"
21,True,0,"(1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 3, 0, 3, 1, 2, 2, 2, 2, 1)"
16,True,0,"(2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 0, 2, 2)"
18,True,0,"(2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 3, 2, 2, 1, 1, 1)"
15,True,0,"(1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2)"
21,True,0,"(1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 0, 2, 2, 3, 1)"
23,True,0,"(1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 0, 2, 2, 2, 1, 1, 1, 3, 1, 2, 1)"
21,True,0,"(1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 2, 2, 2, 1, 3, 2, 2, 2, 2, 1)"
20,True,0,"(1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 0, 2, 2, 3, 1, 1)"
16,True,0,"(1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 1)"
